Author                                                                 ;Definition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ;Interpretation                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;Origin                                                                                                                                                  ;Discipline                                        ;Year ;Title                                                                                                                                                                    ;Doi                                                                     ;Search Keys                                                              ;Url
Popular-Web                                                            ;Agency refers to the subjective awareness that one is the initiator of their volitional actions and their effects.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ;Subjectivity, Self, Human                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;na                                                                                                                                                      ;Philosophy                                        ;na   ;na                                                                                                                                                                       ;na                                                                      ;Agency                                                                   ;0
Popular-Web                                                            ;Agency is the capacity for self-determined thought and action that allows influence over the external world.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;Subjectivity, Self, Human                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;na                                                                                                                                                      ;Philosophy                                        ;na   ;na                                                                                                                                                                       ;na                                                                      ;Agency                                                                   ;0
Popular-Web                                                            ;Human agency involves the ability to intentionally make choices and enact them to produce desired outcomes.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ;Subjectivity, Self, Human                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;na                                                                                                                                                      ;Philosophy                                        ;na   ;na                                                                                                                                                                       ;na                                                                      ;Agency                                                                   ;0
Popular-Web                                                            ;Agency refers to the experience of self-initiation and self-regulation in the control of one's actions.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ;Subjectivity, Self, Human                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;na                                                                                                                                                      ;Philosophy                                        ;na   ;na                                                                                                                                                                       ;na                                                                      ;Agency                                                                   ;0
Popular-Web                                                            ;Agency is the capacity of individuals to act independently and make choices that shape their circumstances.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ;Subjectivity, Self, Human                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;na                                                                                                                                                      ;Philosophy                                        ;na   ;na                                                                                                                                                                       ;na                                                                      ;Agency                                                                   ;0
Popular-Web                                                            ;Human agency comprises the temporally constructed engagement of actors with different structural environments.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;Subjectivity, Self, Human                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;na                                                                                                                                                      ;Law, Political, Economics                         ;na   ;na                                                                                                                                                                       ;na                                                                      ;Agency                                                                   ;0
Popular-Web                                                            ;Agency involves the subjective awareness that one is the source and originator of their intentional actions.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;Subjectivity, Self, Human                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;na                                                                                                                                                      ;Law, Political, Economics                         ;na   ;na                                                                                                                                                                       ;na                                                                      ;Agency                                                                   ;0
Popular-Web                                                            ;Agency refers to the human capacity to influence intentionally one's functioning and life circumstances.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ;Subjectivity, Self, Human                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;na                                                                                                                                                      ;Law, Political, Economics                         ;na   ;na                                                                                                                                                                       ;na                                                                      ;Agency                                                                   ;0
Popular-Web                                                            ;Human agency is the ability of individuals to act independently and make free choices that affect their world.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;Subjectivity, Self, Human                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;na                                                                                                                                                      ;Law, Political, Economics                         ;na   ;na                                                                                                                                                                       ;na                                                                      ;Agency                                                                   ;0
Popular-Web                                                            ;Agency is the capacity to originate and direct actions for given purposes in accordance with one's goals.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;Subjectivity, Self, Human                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;na                                                                                                                                                      ;Law, Political, Economics                         ;na   ;na                                                                                                                                                                       ;na                                                                      ;Agency                                                                   ;0
Popular-Web                                                            ;Agency involves the experience of willingness, self-relatedness and self-endorsement in initiating and controlling actions.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ;Subjectivity, Self, Human                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;na                                                                                                                                                      ;Law, Political, Economics                         ;na   ;na                                                                                                                                                                       ;na                                                                      ;Agency                                                                   ;0
Popular-Web                                                            ;Agency refers to the subjective awareness that one is the initiator of their volitional actions and their consequences.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ;Subjectivity, Self, Human                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;na                                                                                                                                                      ;Law, Political, Economics                         ;na   ;na                                                                                                                                                                       ;na                                                                      ;Agency                                                                   ;0
Popular-Web                                                            ;Agency is the capacity for self-determined thought and action that allows influence over external events.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;Subjectivity, Self, Human                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;na                                                                                                                                                      ;Philosophy                                        ;na   ;na                                                                                                                                                                       ;na                                                                      ;Agency                                                                   ;0
Popular-Web                                                            ;Human agency involves the ability to intentionally make choices and enact them to shape circumstances.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ;Subjectivity, Self, Human                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;na                                                                                                                                                      ;Philosophy                                        ;na   ;na                                                                                                                                                                       ;na                                                                      ;Agency                                                                   ;0
Popular-Web                                                            ;Agency refers to the experience of self-initiation and self-regulation in the control of one's volitional actions.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ;Subjectivity, Self, Human                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;na                                                                                                                                                      ;Philosophy                                        ;na   ;na                                                                                                                                                                       ;na                                                                      ;Agency                                                                   ;0
Popular-Web                                                            ;Agency is the capacity of individuals to act independently and make choices that impact their world.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;Subjectivity, Self, Human                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;na                                                                                                                                                      ;Philosophy                                        ;na   ;na                                                                                                                                                                       ;na                                                                      ;Agency                                                                   ;0
Popular-Web                                                            ;Human agency comprises the temporally constructed engagement of actors with different structural environments.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;Subjectivity, Self, Human                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;na                                                                                                                                                      ;Philosophy                                        ;na   ;na                                                                                                                                                                       ;na                                                                      ;Agency                                                                   ;0
